word	why
MESA	Xuxen rejects it
MESSAGE	Xuxen rejects it
MET	Xuxen rejects it
MIDNIGHT	Xuxen rejects it
MIL	Xuxen rejects it
MILK	Xuxen rejects it
MILL	Xuxen rejects it
MILLENNIUM	Xuxen rejects it
MILO	Xuxen rejects it
MINT	Xuxen rejects it
MINUTE	Xuxen rejects it
MIRACLE	Xuxen rejects it
MISS	by hand: English, though Xuxen and a Romance list accept it
MIX	Xuxen rejects it
MONEY	Xuxen rejects it
MONTE	Xuxen rejects it
MOON	Xuxen rejects it
MOOSE	Xuxen rejects it
MORNING	Xuxen rejects it
MORT	Xuxen rejects it
MOST	Xuxen rejects it
MOTHER	Xuxen rejects it
MOULIN	Xuxen rejects it
MOUNTAIN	Xuxen rejects it
MOUSE	Xuxen rejects it
MOVE	Xuxen rejects it
MOVIE	Xuxen rejects it
MULLER	Xuxen rejects it
MURDER	Xuxen rejects it
MUSIC	Xuxen rejects it
MUTT	Xuxen rejects it
NAG	Xuxen rejects it
NAME	Xuxen rejects it
NAN	Xuxen rejects it
NATION	Xuxen rejects it
NECK	Xuxen rejects it
NEED	Xuxen rejects it
NEVER	Xuxen rejects it
NEW	Xuxen rejects it
NIGHT	Xuxen rejects it
NIX	Xuxen rejects it
NOIR	Xuxen rejects it
NOME	Xuxen rejects it
NORTH	Xuxen rejects it
NOS	Xuxen rejects it
NOSE	Xuxen rejects it
NOTHING	Xuxen rejects it
NOVA	Xuxen rejects it
NOW	Xuxen rejects it
NOWADAYS	Xuxen rejects it
NOWHERE	Xuxen rejects it
NUCLEUS	Xuxen rejects it
OBEY	Xuxen rejects it
OCEAN	Xuxen rejects it
OCTOPUS	Xuxen rejects it
OCULUS	Xuxen rejects it
OFFICE	Xuxen rejects it
OIL	by hand: English, though Xuxen and a Romance list accept it
OLD	Xuxen rejects it
OLIVE	Xuxen rejects it
ONE	Xuxen rejects it
OPEN	by hand: English, though Xuxen and a Romance list accept it
ORANGE	Xuxen rejects it
ORCA	Xuxen rejects it
OUR	Xuxen rejects it
OVERLOOK	Xuxen rejects it
OWL	Xuxen rejects it
PACE	Xuxen rejects it
PADRE	Xuxen rejects it
PAIN	Xuxen rejects it
PAINT	Xuxen rejects it
PAIR	Xuxen rejects it
PALACE	Xuxen rejects it
PALAIS	Xuxen rejects it
PAP	Xuxen rejects it
PAPILLON	Xuxen rejects it
PAPPI	Xuxen rejects it
PARK	Xuxen rejects it
PART	by hand: English, though Xuxen and a Romance list accept it
PAS	Xuxen rejects it
PASS	Xuxen rejects it
PATCH	Xuxen rejects it
PAY	Xuxen rejects it
PEACE	Xuxen rejects it
PEACH	Xuxen rejects it
PEARL	Xuxen rejects it
PECH	Xuxen rejects it
PEG	Xuxen rejects it
PELOTA	Xuxen rejects it
PENNY	spelled as Basque never spells
PEOPLE	Xuxen rejects it
PEPPER	Xuxen rejects it
PES	Xuxen rejects it
PEST	Xuxen rejects it
PICTURE	Xuxen rejects it
PIE	Xuxen rejects it
PIED	Xuxen rejects it
PIG	Xuxen rejects it
PINK	Xuxen rejects it
PIT	Xuxen accepts it, but no Romance language has it: English only
PLACE	Xuxen rejects it
PLANET	Xuxen rejects it
PLANT	Xuxen rejects it
PLAY	Xuxen rejects it
PLEASANT	Xuxen rejects it
PLUG	Xuxen rejects it
